567.022	559.987	334.592	227.943	0.190081	0.000129438
567.836	560.588	334.37	227.739	0.182443	0.000111222
567.777	560.528	334.312	227.759	0.182581	0.000111773
567.778	560.535	334.311	227.791	0.182643	0.000111962
567.741	560.502	334.314	227.773	0.182656	0.000111918
567.754	560.514	334.313	227.781	0.182634	0.000111829
567.747	560.509	334.313	227.777	0.182651	0.000111939
567.729	560.489	334.314	227.774	0.182631	0.000111797
567.756	560.515	334.314	227.785	0.182621	0.000111803
567.744	560.506	334.312	227.777	0.182648	0.000111914
567.734	560.494	334.313	227.775	0.182626	0.000111847
567.762	560.519	334.313	227.787	0.182621	0.000111812
567.75	560.511	334.312	227.781	0.182652	0.000111952
567.74	560.501	334.312	227.775	0.182635	0.000111933
567.737	560.498	334.313	227.775	0.182629	0.000111818
567.746	560.507	334.314	227.778	0.182623	0.000111883
567.735	560.497	334.31	227.777	0.182638	0.000111891
567.753	560.512	334.312	227.781	0.182627	0.000111895
567.742	560.503	334.312	227.778	0.182639	0.000111841
567.754	560.515	334.317	227.78	0.182633	0.000111837
567.738	560.499	334.316	227.776	0.182659	0.000112012
567.758	560.517	334.316	227.78	0.182652	0.000111895
567.743	560.504	334.311	227.778	0.18264	0.000111827
567.743	560.505	334.311	227.778	0.182652	0.000111935
567.733	560.494	334.31	227.776	0.18263	0.000111877
567.756	560.514	334.312	227.789	0.182619	0.000111891
567.754	560.514	334.311	227.784	0.182645	0.000111852
567.746	560.507	334.314	227.781	0.182641	0.000111708
567.745	560.507	334.315	227.777	0.182651	0.000111909
567.741	560.501	334.314	227.776	0.182634	0.000111886
567.736	560.497	334.313	227.779	0.182631	0.00011186
567.752	560.512	334.316	227.782	0.182627	0.000111905
567.728	560.49	334.319	227.777	0.182665	0.000112003
567.792	560.548	334.313	227.8	0.182656	0.000111814
567.739	560.5	334.314	227.781	0.182627	0.000111835
567.762	560.52	334.315	227.782	0.18266	0.000111885
567.747	560.507	334.314	227.777	0.182643	0.000111803
567.743	560.505	334.311	227.777	0.182635	0.000111962
567.745	560.505	334.313	227.78	0.182627	0.000111867
567.756	560.515	334.315	227.781	0.182623	0.000111876
567.725	560.487	334.319	227.778	0.182662	0.000111983
567.799	560.554	334.316	227.802	0.182655	0.000111814
567.755	560.514	334.312	227.78	0.182639	0.000111903
567.734	560.496	334.311	227.775	0.18264	0.00011196
567.757	560.515	334.313	227.786	0.182617	0.000111834
567.749	560.51	334.312	227.782	0.18265	0.0001117
567.746	560.506	334.316	227.777	0.182661	0.000111965
567.754	560.513	334.313	227.779	0.182627	0.000111854
567.75	560.511	334.313	227.781	0.182633	0.000111858
567.745	560.507	334.311	227.778	0.182651	0.000111931
567.732	560.492	334.313	227.774	0.182632	0.000111829
