612.121	610.6	330.465	227.93	0.223642	0.0755196
611.467	609.853	330.484	227.638	0.202094	0.0756341
611.548	609.949	330.524	227.722	0.201949	0.0756286
611.605	610.01	330.53	227.756	0.201843	0.0756185
611.589	609.994	330.537	227.76	0.201845	0.0756197
611.619	610.023	330.53	227.759	0.201842	0.075617
611.604	610.008	330.531	227.759	0.201856	0.0756184
611.6	610.004	330.532	227.759	0.201854	0.0756188
611.594	609.999	330.532	227.76	0.201853	0.0756197
611.601	610.006	330.532	227.759	0.20185	0.0756186
611.608	610.012	330.532	227.761	0.201832	0.0756178
611.604	610.009	330.529	227.758	0.201835	0.0756182
611.605	610.009	330.531	227.759	0.201849	0.0756187
611.603	610.007	330.531	227.758	0.201854	0.0756184
611.608	610.013	330.531	227.761	0.201841	0.0756178
611.612	610.017	330.531	227.753	0.201824	0.075617
611.583	609.99	330.533	227.764	0.201854	0.0756207
611.604	610.008	330.532	227.762	0.201842	0.0756183
611.618	610.022	330.53	227.755	0.201826	0.0756167
611.596	610.001	330.532	227.759	0.201854	0.0756189
611.61	610.014	330.533	227.761	0.201832	0.0756176
6

122
